domainname,nr_asn
cern.ch,30998.0
comlaude.ch,30720.0
switch.ch,30715.0
infomaniak.ch,30679.0
phonesear.ch,30303.0
protonmail.ch,30047.0
honcode.ch,28807.0
hostpoint.ch,28649.0
noris.ch,28626.0
finarea.ch,27199.0
cyon.ch,25804.0
google.ch,25635.0
kbntx.ch,25286.0
bluewin.ch,25036.0
nine.ch,24843.0
sunrise.ch,24421.0
nic.ch,24098.0
hoststar.ch,23299.0
swissns.ch,23044.0
open.ch,22607.0
mscgva.ch,22390.0
kreativmedia.ch,21912.0
pinterest.ch,21387.0
itu.ch,21357.0
admin.ch,21073.0
fbwat.ch,20763.0
ethz.ch,20725.0
vtx.ch,20700.0
switchplus.ch,20185.0
tophost.ch,20020.0
arenabg.ch,19925.0
glipac.ch,19704.0
webland.ch,19574.0
hosttech.ch,18719.0
agrinet.ch,18676.0
metanet.ch,18661.0
hcuge.ch,18508.0
dimago.ch,18362.0
uzh.ch,18196.0
cyberlink.ch,17725.0
datasource.ch,17715.0
hostfactory.ch,17592.0
migros.ch,17400.0
porsche.ch,17382.0
adidas.ch,17338.0
wservices.ch,17067.0
zer0day.ch,17014.0
dfinet.ch,16855.0
hispeed.ch,16851.0
netzone.ch,16826.0
post.ch,16432.0
swisscom.ch,16159.0
exoscale.ch,16087.0
unibe.ch,15936.0
4am.ch,15722.0
adslplus.ch,15703.0
epfl.ch,15573.0
iway.ch,15404.0
interway.ch,15338.0
unil.ch,15313.0
swissinfo.ch,15282.0
namemaster.ch,15268.0
protonvpn.ch,15246.0
wn-dns.ch,15234.0
unige.ch,15151.0
fcom.ch,15012.0
gmx.ch,14926.0
exigo.ch,14493.0
1lib.ch,14408.0
trendhosting-net.ch,14245.0
netrics.ch,14179.0
coop.ch,14109.0
cleanmail.ch,14073.0
nzz-tech.ch,14068.0
imp.ch,13991.0
dns-zonen.ch,13881.0
boomte.ch,13828.0
srgssr.ch,13823.0
hostorama.ch,13646.0
spee.ch,13635.0
netplus.ch,13617.0
publicompserver.ch,13586.0
airbnb.ch,13420.0
wemfbox.ch,13357.0
036.ch,13322.0
nts.ch,13259.0
ellb.ch,13167.0
host.ch,13138.0
solnet.ch,13092.0
servertown.ch,13022.0
threema.ch,12946.0
mtfcloud.ch,12891.0
abuse.ch,12882.0
oetiker.ch,12857.0
goeast.ch,12834.0
ebay.ch,12787.0
astro.ch,12718.0
unibas.ch,12711.0
ungleich.ch,12690.0
swisslink.ch,12654.0
go-fet.ch,12568.0
xmedia.ch,12402.0
hosting-ch.ch,12318.0
nubium.ch,12295.0
ewdns.ch,12173.0
backslash.ch,12032.0
tripadvisor.ch,12016.0
hon.ch,12003.0
qlns.ch,11972.0
xmodels-live.ch,11936.0
1ahosting.ch,11936.0
cryptowat.ch,11891.0
innet.ch,11879.0
nextron.ch,11863.0
sfs-network.ch,11856.0
faelix.ch,11853.0
xvo.ch,11811.0
adsugar.ch,11711.0
rts.ch,11691.0
evok.ch,11687.0
nzz.ch,11599.0
genotec.ch,11577.0
domaintraffic.ch,11467.0
geberit.ch,11401.0
servicehoster.ch,11335.0
usz.ch,11313.0
enidan.ch,11286.0
ti-edu.ch,11204.0
blogspot.ch,11185.0
getback.ch,11120.0
datazug.ch,11087.0
da-services.ch,11050.0
gotdns.ch,11017.0
20min.ch,11006.0
ag.ch,10977.0
avectris.ch,10964.0
wingo.ch,10950.0
srf.ch,10946.0
virtualtec.ch,10868.0
ossig.ch,10846.0
netstream.ch,10842.0
posteo-dns.ch,10819.0
tcnet.ch,10812.0
iec.ch,10755.0
firestorm.ch,10741.0
hosting.ch,10727.0
fastnet.ch,10705.0
webstyle.ch,10683.0
zh.ch,10644.0
nscluster.ch,10638.0
ipcc.ch,10582.0
unifr.ch,10553.0
swisstxt.ch,10538.0
datacomm.ch,10524.0
switchplus-mail.ch,10493.0
arcade.ch,10465.0
alto.ch,10436.0
serverbase.ch,10425.0
opsserver.ch,10416.0
komodo.ch,10398.0
pcdog.ch,10390.0
rhone.ch,10380.0
easyzone.ch,10374.0
datacenterlight.ch,10367.0
opsdns.ch,10329.0
gr.ch,10271.0
your-web.ch,10205.0
spielyeti.ch,10204.0
upc.ch,10203.0
interactivebrokers.ch,10186.0
ibllc.ch,10180.0
web-agentur.ch,10178.0
be.ch,10147.0
oriented.ch,10109.0
jeuxjeuxjeux.ch,10069.0
blick.ch,9988.0
sbb.ch,9987.0
imd.ch,9927.0
hostedsolution.ch,9902.0
5ms.ch,9886.0
ganesh-hosting.ch,9883.0
bfh.ch,9830.0
expedia.ch,9825.0
swisslife.ch,9821.0
vd.ch,9807.0
xprofiler.ch,9707.0
mailstation.ch,9700.0
i-web.ch,9695.0
nintendo.ch,9597.0
curaden-hosting.ch,9546.0
jabraheadsets.ch,9523.0
aare-rz.ch,9495.0
domains.ch,9474.0
safemail.ch,9456.0
reebok.ch,9454.0
suedostschweiz.ch,9425.0
aladin21.ch,9405.0
zic-network.ch,9397.0
aladin.ch,9374.0
fhnw.ch,9334.0
opsone-analytics.ch,9324.0
ge.ch,9321.0
alpinedc.ch,9311.0
ebu.ch,9281.0
kirchenweb.ch,9268.0
net4all.ch,9251.0
1ahostingpro.ch,9231.0
xcampaign.ch,9229.0
trit.ch,9225.0
escapenet.ch,9218.0
vritec.ch,9168.0
skyscanner.ch,9166.0
everyware.ch,9126.0
icinternet.ch,9102.0
glattnet.ch,9065.0
unisg.ch,9024.0
intername.ch,9020.0
rsnweb.ch,8966.0
srg-ssr.ch,8966.0
mailprofiler.ch,8959.0
admeira.ch,8939.0
csti.ch,8927.0
hin.ch,8913.0
netgrouper.ch,8901.0
hostmax.ch,8882.0
hirslanden.ch,8873.0
xelon.ch,8826.0
ips.ch,8793.0
copperfasten.ch,8777.0
comparis.ch,8749.0
tg.ch,8702.0
sogea.ch,8674.0
nth.ch,8638.0
newhome.ch,8592.0
centinated.ch,8584.0
ulrichard.ch,8579.0
datacenter-migros.ch,8566.0
cybernetwork.ch,8564.0
maillink.ch,8537.0
dns-cloud.ch,8506.0
weblink.ch,8502.0
chuv.ch,8482.0
scalera.ch,8472.0
heig-vd.ch,8465.0
citycable.ch,8465.0
syselcloud.ch,8447.0
indeed.ch,8439.0
lombardodier.ch,8423.0
galaxus.ch,8326.0
guests.ch,8319.0
wifisolution.ch,8294.0
witweb.ch,8274.0
psideo.ch,8237.0
datapark.ch,8169.0
jonasschnelli.ch,8168.0
as1836.ch,8166.0
swissquote.ch,8157.0
stzh.ch,8152.0
ricardostatic.ch,8148.0
amenic.ch,8145.0
microspot.ch,8141.0
ricardo.ch,8128.0
hslu.ch,8126.0
cs2.ch,8112.0
educa.ch,8080.0
rcv.ch,8043.0
leunet.ch,8023.0
cdi.ch,8017.0
flashcable.ch,7994.0
netstyle.ch,7991.0
galenica.ch,7975.0
penta.ch,7963.0
deep.ch,7933.0
ville-ge.ch,7927.0
wa-research.ch,7922.0
acg-geneve.ch,7911.0
autoscout24.ch,7911.0
ngit.ch,7904.0
xmodels.ch,7896.0
ti.ch,7888.0
apgsga.ch,7873.0
distrelec.ch,7847.0
anibis.ch,7844.0
ksd.ch,7840.0
dns24.ch,7837.0
citrin.ch,7829.0
digitecgalaxus.ch,7819.0
basler.ch,7800.0
salt.ch,7785.0
orcwebhosting.ch,7778.0
fr.ch,7774.0
ringier.ch,7771.0
gia.ch,7729.0
internetone.ch,7725.0
zhaw.ch,7720.0
ehl.ch,7717.0
onebyte.ch,7701.0
nexanet.ch,7682.0
oscolo.ch,7673.0
postfinance.ch,7672.0
oly.ch,7671.0
exovoid.ch,7665.0
fourmilab.ch,7663.0
myhostpoint.ch,7661.0
tagesanzeiger.ch,7657.0
unepchemicals.ch,7642.0
into.ch,7642.0
securemailbox.ch,7641.0
tyle.ch,7628.0
serverdns.ch,7625.0
armacom.ch,7584.0
exion.ch,7575.0
stadt-zuerich.ch,7559.0
bull-services.ch,7554.0
webways.ch,7529.0
yelp.ch,7526.0
nhost.ch,7496.0
senselan.ch,7484.0
worldcom.ch,7476.0
letemps.ch,7457.0
audatex.ch,7432.0
aspcloud.ch,7407.0
namesrv.ch,7353.0
qos.ch,7330.0
mtfweb.ch,7328.0
anycastdns.ch,7312.0
swisslos.ch,7295.0
unine.ch,7286.0
inwx.ch,7278.0
onlime.ch,7274.0
ify.ch,7264.0
search.ch,7258.0
usi.ch,7243.0
exchange-swiss.ch,7237.0
emuroms.ch,7233.0
tsinger.ch,7225.0
glaro.ch,7198.0
jse.ch,7181.0
ezimg.ch,7171.0
ne.ch,7170.0
internetgalerie.ch,7137.0
prolitteris.ch,7130.0
byteworks.ch,7124.0
itligent.ch,7112.0
zenvoo.ch,7109.0
dvbern.ch,7102.0
watson.ch,7098.0
fhvi.ch,7087.0
bl.ch,7065.0
hvpte.ch,7029.0
onax.ch,7015.0
widewalls.ch,6990.0
begasoft.ch,6987.0
rizag.ch,6981.0
syhost.ch,6976.0
webkoenig.ch,6970.0
belimo.ch,6956.0
rednet.ch,6950.0
deckpoint.ch,6929.0
insel.ch,6917.0
nettrust.ch,6914.0
adies.ch,6906.0
cablecom.ch,6881.0
raiffeisen.ch,6876.0
neotrend.ch,6875.0
simplehosting.ch,6872.0
softronics.ch,6870.0
iso.ch,6864.0
swisssecuritylab.ch,6793.0
qldc.ch,6791.0
wnd.ch,6787.0
ommail.ch,6786.0
mkf.ch,6781.0
businessclick.ch,6777.0
sysco.ch,6774.0
vsnet.ch,6771.0
zalando.ch,6769.0
tamedia.ch,6765.0
itds.ch,6764.0
etat-ge.ch,6760.0
dynamail.ch,6730.0
educanet2.ch,6728.0
ofac.ch,6724.0
tutti.ch,6719.0
4host.ch,6719.0
ymc.ch,6701.0
webne.ch,6685.0
t-systems.ch,6679.0
competec.ch,6678.0
forebase.ch,6678.0
talus.ch,6673.0
securedns.ch,6662.0
livenet.ch,6652.0
spamcleaner.ch,6652.0
bs.ch,6645.0
kayak.ch,6633.0
clientis.ch,6633.0
goline.ch,6620.0
cuida.ch,6612.0
ntd.ch,6609.0
adconsole.ch,6601.0
glastroesch.ch,6585.0
smallte.ch,6582.0
4server.ch,6575.0
popnet.ch,6569.0
mhs.ch,6564.0
so.ch,6563.0
safecenter.ch,6560.0
sbid.ch,6556.0
teleprint.ch,6552.0
orangemail.ch,6547.0
ict-olten.ch,6543.0
azinformatique.ch,6539.0
allianz-suisse.ch,6517.0
databaar.ch,6514.0
aipi.ch,6508.0
nau.ch,6506.0
netmind.ch,6497.0
loginserver.ch,6488.0
register.ch,6486.0
digitec.ch,6480.0
didacware.ch,6458.0
zg.ch,6457.0
ecodev.ch,6449.0
local.ch,6423.0
green.ch,6402.0
triwdata.ch,6399.0
ch.ch,6396.0
vontobel.ch,6394.0
raq.ch,6393.0
helsana.ch,6392.0
tkcloud.ch,6359.0
krypton.ch,6359.0
hesge.ch,6350.0
netoxygen.ch,6346.0
steg-electronics.ch,6338.0
eunet.ch,6328.0
homegate.ch,6326.0
xiag.ch,6322.0
eyracloud.ch,6316.0
redcross.ch,6313.0
tlaun.ch,6311.0
rzobt.ch,6311.0
snowflakehosting.ch,6310.0
manor.ch,6302.0
vshn.ch,6301.0
trenka.ch,6301.0
orange.ch,6299.0
sitrox.ch,6291.0
viseca.ch,6278.0
psi.ch,6276.0
sg.ch,6265.0
sefanet.ch,6262.0
business-exchange.ch,6253.0
wellhosted.ch,6250.0
ahja.ch,6234.0
rsi.ch,6226.0
emmi.ch,6224.0
connects.ch,6222.0
modpacks.ch,6216.0
mailscanner.ch,6209.0
entex.ch,6209.0
danzz.ch,6208.0
glarotech.ch,6208.0
decweb.ch,6196.0
static-nzz.ch,6183.0
slynet.ch,6181.0
pro-senectute.ch,6177.0
fima-hosting.ch,6176.0
securemailservice.ch,6173.0
liteweb.ch,6166.0
hefr.ch,6154.0
css.ch,6150.0
syhosting.ch,6148.0
hiho.ch,6145.0
nnmclub.ch,6134.0
hsr.ch,6124.0
uptm.ch,6107.0
evard.ch,6096.0
wsl.ch,6089.0
sarasin.ch,6069.0
stepping-stone.ch,6065.0
stmb.ch,6060.0
webpark.ch,6056.0
swissnetwork.ch,6034.0
ssp-online.ch,6028.0
leuchter-cloud.ch,6027.0
svh-api.ch,6023.0
glassdoor.ch,6013.0
titolo.ch,6012.0
my105.ch,6008.0
2edaadmin.ch,5991.0
ctekag.ch,5987.0
jjshouse.ch,5982.0
tcs.ch,5973.0
uditis.ch,5972.0
telecomservices.ch,5960.0
kaktus.ch,5954.0
avensys.ch,5949.0
fsit.ch,5946.0
sceur.ch,5934.0
ip-plus.ch,5930.0
freitag.ch,5928.0
glei.ch,5926.0
idiap.ch,5913.0
zkb.ch,5906.0
swiss-support.ch,5906.0
uwatchfree.ch,5903.0
hotmail.ch,5898.0
call-up.ch,5898.0
swissonline.ch,5897.0
inic.ch,5892.0
adfinis-sygroup.ch,5889.0
zhdk.ch,5889.0
permaleads.ch,5889.0
dropnet.ch,5879.0
flow.ch,5869.0
ixion.ch,5861.0
finews.ch,5853.0
iz-net.ch,5852.0
loky.ch,5848.0
openoffice.ch,5846.0
nameserver.ch,5843.0
hitparade.ch,5841.0
masterhomepage.ch,5839.0
laredoute.ch,5836.0
vs.ch,5833.0
jldcs.ch,5832.0
ebookers.ch,5819.0
webkeeper.ch,5819.0
lsne.ch,5817.0
zline.ch,5809.0
visual-fantastix.ch,5808.0
tdg.ch,5806.0
digitale-gesellschaft.ch,5784.0
nexlink.ch,5775.0
moneyhouse.ch,5775.0
asstra.ch,5767.0
az-cdn.ch,5765.0
pnow.ch,5747.0
kmu-datacenter.ch,5740.0
pyle.ch,5728.0
inware.ch,5726.0
scsstatic.ch,5708.0
frey-net.ch,5694.0
net2000.ch,5690.0
oca.ch,5689.0
swissdomains.ch,5688.0
ctekns.ch,5682.0
